query,response,bleu,rougeL,semantic_similarity,faithfulness,answer_relevancy,answer_correctness,accuracy,precision,recall,f1_score,confidence_score,latency_ms,retrieval_score
Berapa kapasitas baterai Wuling Air EV?,Kapasitas baterai kendaraan ini adalah 17.3 kWh untuk varian Standard Range dan 26.7 kWh untuk varian Long Range.,0.0341599190576228,0.3636363636363636,0.375,0.34765008576329337,0.14285714285714285,0.4062590187590188,1.0,0.36363636363636365,0.5714285714285714,0.4444444444444444,0.528298022728474,8373.088121414185,0.8576979041099548
Apa mesin yang digunakan Honda CR-V?,Honda CR-V 2024 Mobil,0.003111908084460195,0.22222222222222218,0.07142857142857142,0.40580645161290324,0.16666666666666666,0.14682539682539683,0.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.40581672454368106,5196.822166442871,0.698966383934021
Bandingkan Honda CR-V dan Toyota Fortuner.,"Maaf, saya tidak dapat memberikan jawaban yang baik saat ini. Silakan coba lagi.",0.0,0.0,0.0,0.21204013377926423,0.0,0.0,0.0,0.0,0.0,0.0,0.28059905767440796,8353.535890579224,0.5611981153488159
Apa itu mobil listrik?,"Mobil listrik adalah jenis kendaraan yang menggunakan bahan bakar untuk menghasilkan tenaga, meskipun mereka tidak menggunakan mesin. Ini termasuk mobil listrik, mobil hybrid, dan mobil listrik baterai. Mereka biasanya memiliki sistem pengisian yang lebih baik dan lebih mudah digunakan daripada mobil tradisional.",0.029734825030798072,0.26666666666666666,0.12121212121212122,0.3474599542334097,0.07692307692307693,0.22593939393939397,1.0,0.16,0.8,0.26666666666666666,0.3336605705161478,7114.382266998291,0.5191203951835632
Kenapa mobil sulit dihidupkan saat pagi hari?,"Terdapat beberapa penyebab yang dapat menyebabkan mobil sulit dihidupkan saat pagi hari:
1. Aki yang mulai lemah sehingga tidak mampu menyuplai arus listrik yang cukup.
2. Suplai bahan bakar yang tidak lancar atau tidak optimal.
3. Sistem pengapian yang tidak optimal.
4. Bahan bakar yang tidak prima.
5. Filter udara yang kotor.
6. Injektor yang kotor.
7. Sensor udara yang bermasalah.
8. Kompresi mesin yang menurun.
9. Komponen pengapian yang rusak.
10. Komponen transmisi yang rusak.

Pertimbangkan untuk melakukan pemeriksaan awal pada sistem bahan bakar, injektor, dan komponen pengapian.",0.059369070449353384,0.30088495575221236,0.27586206896551724,0.3825498575498576,0.10909090909090909,0.3191735673381947,1.0,0.14814814814814814,1.0,0.25806451612903225,0.4270296039052804,7935.599327087402,0.6739321947097778
Apa penyebab mobil terasa tersendat saat akselerasi?,"Penyebab mobil terasa tersendat saat akselerasi adalah karena sensor throttle yang tidak bekerja optimally. Ini menyebabkan sensor ini tidak dapat merespons dengan efektif ketika motor sedang beraksi, sehingga sensor ini mengalami kesendatan.",0.08036517486170723,0.2641509433962264,0.17142857142857143,0.2739130434782609,0.25,0.22210979763574432,1.0,0.17391304347826086,0.5,0.25806451612903225,0.47743200259648105,7138.96107673645,0.7826059460639954
Kenapa knalpot mobil mengeluarkan asap hitam?,"Jawapan: Asap hitam pada knalpot mobil menandakan campuran bahan bakar terlalu kaya sehingga pembakaran tidak berlangsung sempurna. Kondisi ini bisa dipicu oleh injektor bocor, filter udara kotor, sensor udara yang tidak bekerja baik, atau setelan bahan bakar yang tidak tepat. Jika dibiarkan, konsumsi bahan bakar dapat menjadi lebih boros dan performa mesin menurun.",0.21275793898844558,0.4347826086956522,0.34146341463414637,0.463125,0.09523809523809523,0.3653061754021796,1.0,0.175,1.0,0.2978723404255319,0.5439161902256967,8967.597484588623,0.7640621066093445
Apa penyebab mesin mobil cepat panas saat macet?,"Mesin mobil cepat panas saat macet bisa disebabkan oleh beberapa penyebab:
1. Radiator Kotor: Radiator yang kotor atau terbatas akan memicu panas yang lebih besar di ruang bakar.
2. Kipas Radiator Tidak Bekerja: Kipas radiator yang tidak berfungsi dengan baik bisa memicu panas yang lebih tinggi.
3. Tipe Mesin yang Kurang Efektif atau memiliki kualitas pendingin yang kurang dapat memicu panas.
4. Komponen Mesin yang Masih Dalam kondisi yang buruk bisa memicu panas.
5.",0.08669514820036678,0.24742268041237114,0.2826086956521739,0.33185185185185184,0.17073170731707318,0.3221376811594203,1.0,0.175,0.875,0.29166666666666663,0.45362250477205046,7860.928535461426,0.7401860952377319
Kenapa setir mobil terasa berat saat diputar?,"Setir mobil terasa berat saat diputar karena tekanan ban yang tidak seimbang. Ini disebabkan oleh tekanan ban yang lebih besar daripada yang seharusnya. Selain itu, jika tekanan ban tidak seimbang, hal ini bisa mempengaruhi kekuatan mesin dan kemampuan untuk mengontrol kendaraan.",0.13963522201807074,0.34920634920634924,0.2857142857142857,0.29084880636604776,0.2222222222222222,0.27925407925407925,1.0,0.15384615384615385,0.5714285714285714,0.24242424242424246,0.4909834359617752,7712.3963832855225,0.7375460863113403
Apa fungsi radiator pada mobil?,"Fungsi radiator pada mobil adalah untuk melepaskan panas dari cairan pendingin ke udara, membantu mencegah mesin mengalami overheat saat kendaraan digunakan.",0.13076558875109015,0.3888888888888889,0.3181818181818182,0.4287425149700599,0.17647058823529413,0.39583333333333337,1.0,0.3125,0.8333333333333334,0.45454545454545453,0.5002458604683444,6576.477289199829,0.7406644821166992
